,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
494,SRS451923,SRR920633,2.0,,,
495,SRS451923,SRR920720,2.0,,,
496,SRS451924,SRR920635,2.0,,,
497,SRS451924,SRR920722,2.0,,,
498,SRS451925,SRR920637,2.0,,,
499,SRS451925,SRR920724,2.0,,,
500,SRS451926,SRR920636,2.0,,,
501,SRS451926,SRR920723,2.0,,,
502,SRS451927,SRR920638,2.0,,,
503,SRS451927,SRR920725,2.0,,,
504,SRS451928,SRR920640,2.0,,,
505,SRS451928,SRR920727,2.0,,,
506,SRS451929,SRR920641,2.0,,,
507,SRS451929,SRR920728,2.0,,,
508,SRS451930,SRR920639,2.0,,,
509,SRS451930,SRR920726,2.0,,,
510,SRS451931,SRR920642,2.0,,,
511,SRS451931,SRR920729,2.0,,,
512,SRS451932,SRR920643,2.0,,,
513,SRS451932,SRR920730,2.0,,,
514,SRS451933,SRR920644,2.0,,,
515,SRS451933,SRR920731,2.0,,,
516,SRS451934,SRR920646,2.0,,,
517,SRS451934,SRR920733,2.0,,,
518,SRS451935,SRR920645,2.0,,,
519,SRS451935,SRR920732,2.0,,,
520,SRS451936,SRR920647,2.0,,,
521,SRS451936,SRR920734,2.0,,,
522,SRS451937,SRR920648,2.0,,,
523,SRS451937,SRR920735,2.0,,,
524,SRS451938,SRR920649,2.0,,,
525,SRS451938,SRR920736,2.0,,,
526,SRS451939,SRR920651,2.0,,,
527,SRS451939,SRR920738,2.0,,,
528,SRS451940,SRR920650,2.0,,,
529,SRS451940,SRR920737,2.0,,,
530,SRS451941,SRR920652,2.0,,,
531,SRS451941,SRR920739,2.0,,,
532,SRS451942,SRR920653,2.0,,,
533,SRS451942,SRR920740,2.0,,,
534,SRS451943,SRR920654,2.0,,,
535,SRS451943,SRR920741,2.0,,,
536,SRS451944,SRR920655,2.0,,,
537,SRS451944,SRR920742,2.0,,,
538,SRS451945,SRR920656,2.0,,,
539,SRS451945,SRR920743,2.0,,,
540,SRS451946,SRR920657,2.0,,,
541,SRS451946,SRR920744,2.0,,,
542,SRS451947,SRR920658,2.0,,,
543,SRS451947,SRR920745,2.0,,,
544,SRS451948,SRR920659,2.0,,,
545,SRS451948,SRR920746,2.0,,,
546,SRS451949,SRR920660,2.0,,,
547,SRS451949,SRR920747,2.0,,,
548,SRS451950,SRR920661,2.0,,,
549,SRS451950,SRR920748,2.0,,,
550,SRS452026,SRR920900,2.0,,,
551,SRS452026,SRR920963,2.0,,,
552,SRS452027,SRR920899,2.0,,,
553,SRS452027,SRR920962,2.0,,,
554,SRS452028,SRR920901,2.0,,,
555,SRS452028,SRR920964,2.0,,,
556,SRS452029,SRR920902,2.0,,,
557,SRS452029,SRR920965,2.0,,,
558,SRS452030,SRR920903,2.0,,,
559,SRS452030,SRR920966,2.0,,,
560,SRS452031,SRR920904,2.0,,,
561,SRS452031,SRR920967,2.0,,,
562,SRS452032,SRR920905,2.0,,,
563,SRS452032,SRR920968,2.0,,,
564,SRS452033,SRR920906,2.0,,,
565,SRS452033,SRR920969,2.0,,,
566,SRS452034,SRR920907,2.0,,,
567,SRS452034,SRR920970,2.0,,,
568,SRS452035,SRR920908,2.0,,,
569,SRS452035,SRR920971,2.0,,,
570,SRS452036,SRR920909,2.0,,,
571,SRS452036,SRR920972,2.0,,,
572,SRS452037,SRR920910,2.0,,,
573,SRS452037,SRR920973,2.0,,,
574,SRS452038,SRR920911,2.0,,,
575,SRS452038,SRR920974,2.0,,,
576,SRS452039,SRR920912,2.0,,,
577,SRS452039,SRR920975,2.0,,,
578,SRS452040,SRR920913,2.0,,,
579,SRS452040,SRR920976,2.0,,,
580,SRS452041,SRR920914,2.0,,,
581,SRS452041,SRR920977,2.0,,,
582,SRS452042,SRR920915,2.0,,,
583,SRS452042,SRR920978,2.0,,,
584,SRS452043,SRR920916,2.0,,,
585,SRS452043,SRR920979,2.0,,,
586,SRS452044,SRR920917,2.0,,,
587,SRS452044,SRR920980,2.0,,,
588,SRS452045,SRR920918,2.0,,,
589,SRS452045,SRR920981,2.0,,,
590,SRS452046,SRR920919,2.0,,,
591,SRS452046,SRR920982,2.0,,,
592,SRS452047,SRR920920,2.0,,,
593,SRS452047,SRR920983,2.0,,,
594,SRS452048,SRR920921,2.0,,,
595,SRS452048,SRR920984,2.0,,,
596,SRS452049,SRR920922,2.0,,,
597,SRS452049,SRR920985,2.0,,,
598,SRS452050,SRR920923,2.0,,,
599,SRS452050,SRR920986,2.0,,,
600,SRS452051,SRR920924,2.0,,,
601,SRS452051,SRR920987,2.0,,,
602,SRS452052,SRR920925,2.0,,,
603,SRS452052,SRR920988,2.0,,,
604,SRS452053,SRR920926,2.0,,,
605,SRS452053,SRR920989,2.0,,,
606,SRS452054,SRR920927,2.0,,,
607,SRS452054,SRR920990,2.0,,,
608,SRS452055,SRR920928,2.0,,,
609,SRS452055,SRR920991,2.0,,,
610,SRS452056,SRR920929,2.0,,,
611,SRS452056,SRR920992,2.0,,,
612,SRS452057,SRR920930,2.0,,,
613,SRS452057,SRR920993,2.0,,,
614,SRS452058,SRR920931,2.0,,,
615,SRS452058,SRR920994,2.0,,,
616,SRS452059,SRR920933,2.0,,,
617,SRS452059,SRR920996,2.0,,,
618,SRS452060,SRR920932,2.0,,,
619,SRS452060,SRR920995,2.0,,,
620,SRS452061,SRR920934,2.0,,,
621,SRS452061,SRR920997,2.0,,,
622,SRS452062,SRR920936,2.0,,,
623,SRS452062,SRR920999,2.0,,,
